번호,교과구분,개설대학,강좌번호,강의시간,1,2,1T,2T,수강정원,수강신청인원
1297,전공,대학원,CLTR0354-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,59
1298,전공,대학원,CLTR0354-002,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,21
1299,전공,대학원,CLTR0367-002,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,33
1300,전공,대학원,CLTR0756-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,28
1301,전공,대학원,CLTR0225-006,토 1A1B2A토 2B3A3B,토,토,10:30,9:00,1,35
1302,전공,대학원,CLTR0411-035,수 1A1B금 3A3B,수,금,11:00,9:00,20,20
1303,전공,대학원,CLTR0411-036,월 3A3B금 1A1B,월,금,9:00,11:00,20,22
1304,전공,대학원,CLTR0411-037,월 3A3B금 1A1B,월,금,9:00,11:00,20,20
1305,전공,대학원,CLTR0411-040,화 1A1B목 3A3B,화,목,11:00,9:00,20,18
1306,전공,대학원,CLTR0411-041,화 1A1B목 3A3B,화,목,11:00,9:00,20,20
1307,전공,대학원,CLTR0411-042,화 1A1B목 3A3B,화,목,11:00,9:00,20,19
1308,전공,대학원,CLTR0411-052,월 1A1B수 3A3B,월,수,11:00,9:00,20,22
1309,전공,대학원,CLTR0411-057,수 1A1B금 3A3B,수,금,11:00,9:00,20,20
1310,전공,대학원,CLTR0411-060,화 3A3B목 1A1B,화,목,9:00,11:00,20,19
1311,전공,대학원,CLTR0411-064,월 3A3B수 1A1B,월,수,9:00,11:00,20,20
1312,전공,대학원,CLTR0411-070,금 1A1B금 2A2B,금,금,10:00,9:00,20,19
1313,전공,대학원,CLTR0412-007,월 3A3B금 1A1B,월,금,9:00,11:00,20,21
1314,전공,대학원,CLTR0266-004,화 1A1B화 2A2B화 3A3B화 4A4B,화,화,10:00,9:00,40,38
1315,전공,대학원,CLTR0268-002,목 1A1B목 2A2B목 3A3B목 4A4B,목,목,10:00,9:00,40,34
1316,전공,대학원,CLTR0273-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,68
1317,전공,대학원,CLTR0273-002,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,63
1318,전공,대학원,CLTR0372-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,68
1319,전공,대학원,CLTR0372-003,금 1A1B2A금 2B3A3B,금,금,10:30,9:00,70,63
1320,전공,대학원,CLTR0373-004,목 1A1B목 2A2B목 3A3B목 4A4B,목,목,10:00,9:00,40,38
1321,전공,대학원,CLTR0373-006,금 1A1B금 2A2B금 3A3B금 4A4B,금,금,10:00,9:00,40,40
1322,전공,대학원,TCHR0609-007,월 1A1B월 2A2B,월,월,10:00,9:00,40,9
