2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1590,0,380,0,0,0,0,0,83,0,0,809
4700,50,0,0,980,0,0,0,0,0,0,243
11840,320,0,0,0,0,0,0,0,0,0,954
10980,530,0,0,0,0,0,0,371,0,0,908
17740,500,0,0,0,110,0,0,623,0,0,344
2800,800,0,0,0,0,0,0,0,0,0,430
0,960,0,0,260,0,0,0,0,0,0,888
1460,2400,0,0,280,140,0,0,0,0,53,535
780,2600,0,915,450,410,0,0,0,0,0,65
0,3920,0,260,215,0,0,0,0,0,0,140
320,850,0,360,335,0,0,0,0,0,0,0
0,150,0,0,2631,0,0,0,0,226,0,0
0,0,0,220,160,0,0,0,0,0,321,0
0,300,0,400,385,0,0,0,0,0,0,0
720,0,0,200,0,0,0,0,0,56,0,0
160,0,0,1280,0,330,0,0,0,286,0,0
180,70,0,4340,0,0,240,0,0,144,0,0
0,0,0,640,0,0,405,845,0,388,0,0
0,0,260,240,0,0,677,493,0,0,0,0
0,0,50,0,0,0,149,898,0,0,0,0
0,0,140,1160,0,0,168,64,0,121,0,0
0,0,0,160,0,0,577,0,0,381,0,0
0,0,0,0,0,0,0,0,0,580,0,0
0,0,0,0,0,0,0,0,0,310,0,0
0,0,0,0,0,0,0,0,0,880,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,275,0,0,0,0,0,0,0,0,0
12,0,1775,0,0,0,0,0,0,0,0,0
0,95,1900,0,0,0,0,0,0,0,0,0
58,235,200,0,0,0,0,0,0,0,0,0
192,406,675,0,0,0,0,0,0,0,0,0
495,651,300,0,0,0,0,0,0,0,0,0
24,253,225,0,0,0,0,0,0,0,0,0
253,1379,700,0,0,0,0,0,0,0,0,0
168,2954,375,0,0,0,0,0,0,0,0,0
486,655,175,0,0,0,0,0,0,0,0,0
398,270,0,0,0,0,0,0,0,0,0,0
330,7440,75,0,0,0,0,0,0,0,0,0
283,462,300,0,0,0,0,0,0,0,0,0
1269,110,35,0,0,0,0,0,0,0,0,0
0,61,0,0,0,0,0,0,0,0,0,0
150,900,0,0,0,0,0,0,47,0,0,0
180,3173,125,0,0,0,0,0,91,0,0,0
300,370,0,0,0,0,0,0,90,0,0,0
214,0,225,0,0,0,0,0,0,0,0,0
150,250,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,200,0,0,0,550,0,0,0,0,0,0
0,290,0,0,0,375,0,0,0,0,0,0
0,0,0,0,0,150,0,0,0,0,0,0
0,0,0,100,0,0,0,0,0,0,0,0
0,0,0,0,150,0,0,0,0,0,0,0
0,0,0,0,925,0,0,0,0,0,0,0
0,0,0,0,375,0,0,0,0,0,0,0
0,0,0,0,850,550,0,0,0,0,0,0
0,0,0,0,1275,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,60,0,0,750,0,0,0,0,0,0,0
80,0,441,275,900,0,0,0,0,0,0,0
0,0,0,0,250,0,0,0,0,280,0,0
24,42,357,150,0,275,0,0,0,810,0,0
0,384,48,175,0,425,0,0,0,128,0,0
0,757,0,0,0,650,0,0,0,0,0,0
330,268,0,100,525,750,0,0,0,0,0,0
177,222,170,0,0,0,0,0,0,30,0,0
0,528,156,175,0,0,0,0,0,0,0,0
99,1164,330,0,0,650,0,0,0,0,0,0
543,375,165,0,0,0,0,0,0,0,0,0
421,530,720,225,0,0,0,0,0,0,0,0
244,7038,0,0,0,0,0,0,0,0,782,0
454,102,0,0,0,125,0,0,0,0,406,0
798,96,0,0,0,0,0,0,0,0,770,0
1840,16,192,0,0,0,0,0,68,0,508,0
0,728,0,0,0,0,0,0,164,0,334,0
0,2618,0,0,0,0,0,0,0,0,332,0
280,850,0,0,0,0,0,0,96,0,48,0
170,150,0,0,0,0,0,0,76,0,68,0
374,0,0,0,0,0,0,0,0,0,0,0
150,300,0,0,0,0,0,0,840,0,0,0
104,0,0,0,0,0,108,0,832,0,0,0
0,285,0,0,0,0,134,120,866,0,0,0
0,70,0,0,0,0,26,0,840,0,0,0
0,0,0,0,0,0,0,0,5874,0,0,144
0,0,0,0,0,0,0,0,8036,0,0,0
0,0,0,0,0,0,0,36,2076,0,0,214
0,0,0,0,0,0,0,130,7836,44,0,28
0,0,0,0,0,0,0,0,7060,0,0,0
0,0,0,0,0,0,0,22,844,0,0,52
0,0,0,0,0,0,0,0,4848,0,0,466
0,0,0,0,0,0,0,0,4140,0,0,494
0,0,0,0,0,0,0,0,2640,0,0,3714
0,0,0,0,0,0,0,34,640,0,0,7866
100,0,0,0,0,0,0,0,1886,0,0,3040
100,0,0,0,0,0,0,0,880,0,0,1980
70,95,0,0,0,0,0,0,734,0,0,3568
240,235,0,0,0,0,0,0,828,0,0,3044
0,406,0,0,0,0,0,48,444,38,198,7144
800,651,0,0,0,0,0,0,684,0,420,1446
0,253,0,0,0,0,0,0,74,0,814,2056
0,1379,126,0,0,0,0,0,86,616,580,2914
2180,2954,0,0,0,0,0,0,74,0,2392,644
0,655,0,0,0,0,0,980,32,0,5068,938
0,721,0,0,290,0,0,1960,14,0,9870,360
0,0,347,0,102,0,0,2660,0,0,8706,240
140,462,130,0,0,0,0,5224,240,98,15276,130
0,110,850,0,0,495,0,9540,0,0,7796,36
160,61,315,0,0,0,0,918,0,82,9038,314
2990,0,0,0,0,0,180,4724,0,124,21174,300
1400,3173,0,0,0,0,8170,1242,0,1566,17258,132
425,1050,130,0,0,0,7724,1444,0,734,22976,36
947,0,0,0,0,1062,5282,1618,0,3610,31780,28
1345,156,0,0,0,3320,8630,506,0,2154,6604,84
485,226,0,0,0,1800,6466,604,0,578,3966,0
410,0,0,0,0,141,2542,392,0,510,2884,0
135,0,0,299,0,616,8496,1768,0,980,680,0
60,0,0,129,0,958,8540,660,0,530,272,0
50,290,225,0,0,0,5638,496,0,486,80,0
35,585,0,0,0,130,8418,434,0,760,56,0
160,0,0,0,0,0,3862,488,0,954,0,0
90,0,0,0,0,53,3898,34,0,338,0,0
80,0,0,118,0,119,3448,0,0,368,0,0
0,0,0,155,0,0,860,0,998,342,0,0
0,0,0,0,0,0,180,0,284,398,0,0
0,0,0,120,0,125,0,0,772,134,0,0
0,170,0,0,0,0,0,32,602,406,160,0
0,1650,0,787,0,0,0,28,0,696,88,0
0,125,0,23,0,0,0,178,398,656,338,0
0,2050,0,0,0,0,0,34,208,524,122,0
0,840,0,0,0,0,0,98,322,832,244,0
0,0,0,0,0,0,38,492,940,62,258,0
35,0,0,16,0,0,0,176,740,302,224,0
300,70,0,0,0,0,176,142,4600,64,92,0
385,425,0,0,0,0,42,130,6190,82,32,648
605,50,0,0,0,0,84,36,8322,144,0,132
240,110,0,0,0,0,0,248,4896,44,0,434
380,170,63,0,0,0,142,256,47190,26,0,578
320,2025,8,0,0,0,0,68,35568,94,0,640
540,2210,53,0,0,0,0,172,22230,0,0,820
750,1745,156,0,0,0,0,32,3212,0,0,196
815,780,665,0,13,0,0,0,8956,68,0,0
1850,100,535,0,20,0,0,0,6788,0,0,120
4475,475,384,0,0,0,0,0,658,0,0,380
6290,330,422,0,0,0,0,0,2506,0,0,0
2855,0,167,0,0,0,0,0,394,0,0,756
6545,60,384,0,0,0,0,0,182,0,0,784
675,160,34,0,0,0,0,0,402,0,0,704
205,175,366,0,0,0,0,0,278,0,70,772
175,350,144,0,0,0,0,0,278,0,366,1940
410,0,221,0,0,0,0,0,512,0,348,590
655,0,82,0,0,0,38,0,52,0,206,800
225,0,106,0,0,0,0,0,170,508,460,328
0,0,175,0,40,0,12,964,214,0,72,144
0,0,31,0,0,0,0,4402,676,56,438,204
0,0,49,0,323,0,260,4594,34,18,976,520
0,0,32,15,119,0,442,38964,0,0,3134,460
0,0,30,0,0,0,90,20724,0,160,8934,462
0,0,44,0,0,0,264,18724,0,74,0,0
0,0,14,0,0,0,582,85734,0,0,4004,92
51,0,0,0,0,121,272,63944,0,850,1510,108
0,0,0,0,0,0,338,206126,0,784,5238,144
22,0,0,0,0,0,3146,77554,0,0,2534,52
40,0,0,90,0,46,5588,31940,0,744,7402,92
0,410,0,0,0,249,8598,16282,0,734,4998,0
26,1054,0,0,0,59,3422,11024,0,982,3876,0
134,2700,0,0,0,2782,8064,5476,0,2240,3866,0
143,234,0,0,0,760,2324,2854,0,3328,2828,0
129,6998,0,169,0,1620,5946,4068,0,1838,212,0
25,3248,0,120,0,820,2828,598,0,2614,0,0
92,240,0,0,0,642,1700,1368,0,1744,0,0
603,223,0,0,0,26,300,862,0,2024,0,0
923,270,0,0,0,0,868,402,0,220,160,0
380,1610,0,0,0,0,736,674,0,888,0,0
408,1135,0,0,0,0,126,360,0,930,0,0
470,2571,0,208,0,40,316,368,0,518,0,0
419,320,0,171,0,191,0,38,0,954,0,0
2295,153,35,0,0,0,16,132,0,928,0,0
32,383,7,0,0,0,0,0,0,596,0,0
1795,533,81,752,0,0,0,0,0,532,0,0
1003,864,134,0,0,0,0,0,0,342,0,0
39,54,1169,0,0,0,66,0,0,310,0,0
116,402,728,0,0,0,0,0,0,598,0,0
65,127,412,0,0,0,84,0,0,0,0,0
0,11,268,26,0,0,140,0,0,0,0,0
47,0,136,0,0,0,0,0,0,0,0,0
178,0,260,0,0,0,0,0,0,0,0,0
0,0,23,0,0,0,0,0,0,0,0,0
0,188,311,0,0,0,0,0,0,0,0,0
0,176,99,0,0,0,0,0,0,0,0,0
277,0,149,0,0,0,0,0,0,0,0,0
0,0,106,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,32,0,51,0,0,0,0,0,0,0
0,0,0,0,90,0,0,0,1167,0,0,0
0,0,0,0,53,0,0,0,1098,0,0,0
0,0,0,0,21,0,0,0,23,0,0,0
0,0,15,0,45,0,0,0,0,0,0,0
0,0,0,0,33,0,0,0,0,0,0,0
0,0,0,0,45,0,0,0,0,0,0,0
0,0,0,0,121,0,0,0,0,0,0,0
0,0,0,0,72,0,0,0,0,0,0,0
0,0,0,0,106,0,0,0,0,0,0,0
0,0,0,0,94,0,0,0,0,0,0,0
0,0,0,0,135,0,0,0,0,0,0,0
0,0,0,0,166,0,0,0,0,0,0,0
280,0,0,0,164,0,0,0,0,0,0,0
330,0,40,0,147,0,0,0,0,0,0,0
270,0,420,41,161,0,0,0,0,0,0,0
337,0,400,36,202,0,0,0,0,0,0,0
265,0,25,81,0,0,0,0,0,0,0,0
290,454,0,0,0,37,0,0,0,0,0,0
320,0,25,122,0,24,0,0,0,0,0,0
465,0,0,196,0,81,0,0,0,0,0,0
470,0,130,269,0,89,890,0,0,0,0,0
475,0,50,205,0,42,964,0,0,0,0,0
320,0,0,160,0,72,31,90,0,0,0,0
275,0,0,227,0,22,411,250,0,90,0,0
160,0,0,118,0,38,0,200,0,0,0,0
260,0,320,264,0,50,134,0,0,0,0,0
220,0,170,186,0,45,2150,0,0,12,0,0
230,0,150,125,0,85,451,0,0,0,0,0
225,0,130,220,0,42,118,0,0,0,0,0
220,0,170,204,0,167,161,0,0,0,0,0
135,0,420,111,0,139,50,0,0,0,0,0
0,0,150,174,0,134,0,0,0,0,0,0
0,0,0,75,0,43,0,0,0,0,0,0
62,0,180,38,0,53,0,0,0,0,0,0
9,0,0,150,0,61,0,0,0,0,0,0
118,0,390,233,0,122,0,0,0,0,0,0
10,0,160,249,0,160,0,0,0,0,0,0
0,0,0,93,0,116,0,0,0,0,0,0
88,160,0,73,34,42,0,0,0,0,0,0
60,0,0,0,97,0,0,0,0,0,0,0
0,25,0,0,65,0,0,0,0,0,0,0
107,235,0,0,14,0,0,0,0,0,0,0
198,822,0,0,34,0,0,0,15,0,0,27
424,1222,0,0,32,0,0,0,38,0,0,0
521,3711,0,0,19,0,0,0,514,0,0,47
28,976,0,0,88,0,0,0,235,0,0,0
728,805,0,0,22,0,0,0,50,0,0,55
287,1862,0,0,88,0,0,0,71,0,0,0
634,470,0,0,82,0,0,0,0,0,0,0
650,414,0,0,118,0,0,0,0,0,0,71
561,8308,0,0,156,0,0,0,22,0,0,536
838,423,0,0,172,0,0,0,108,0,0,819
692,307,0,0,155,0,0,0,174,0,0,400
604,83,0,0,189,0,0,0,62,0,0,110
581,192,0,0,235,0,0,0,0,0,0,315
21,359,0,0,0,0,0,0,0,0,0,397
6,162,0,0,0,0,0,0,0,0,0,69
0,82,0,0,0,0,150,0,0,0,0,0
54,3590,0,0,0,0,0,0,0,0,213,51
413,96,0,0,0,0,0,0,0,0,0,7
1657,224,0,0,0,0,0,0,0,0,0,42
0,2460,0,0,0,0,0,0,0,0,0,0
186,25,0,0,0,0,0,0,0,0,0,0
0,108,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,22,0,0
73,1161,306,0,0,0,375,0,0,0,0,0
0,0,448,36,0,0,275,0,0,0,91,0
0,0,714,22,0,0,800,0,0,0,0,0
0,0,4080,39,0,0,675,0,0,37,52,0
0,0,8166,23,0,0,700,675,0,1335,0,0
0,0,1490,0,0,21,0,375,0,984,0,0
0,0,154,120,0,8,800,275,0,680,19,0
0,0,0,259,0,70,0,0,0,440,189,0
0,0,1560,223,0,60,0,0,0,335,31,0
0,0,0,125,0,51,150,0,0,83,428,0
0,0,190,150,0,54,0,725,0,122,134,0
0,480,144,111,0,30,350,825,0,123,109,0
0,488,154,64,2100,24,175,0,0,86,9,0
0,0,350,277,3600,47,0,0,0,60,0,0
0,0,0,61,600,76,0,725,0,138,0,0
0,0,256,156,0,106,150,0,0,0,0,0
0,0,0,148,0,37,0,425,0,0,0,0
0,0,0,94,100,134,0,0,0,24,0,0
0,0,42,74,100,115,0,200,0,44,0,0
0,590,0,68,150,121,0,0,0,0,0,0
0,293,0,46,0,64,0,0,0,0,0,0
0,0,261,61,0,56,0,0,20,0,0,0
0,75,0,0,0,81,0,0,878,0,0,0
0,50,0,41,50,132,0,0,670,0,0,0
0,50,0,0,260,146,0,0,2116,0,0,0
0,220,0,44,698,121,0,0,706,0,0,0
0,290,0,0,130,36,0,0,1855,0,0,0
0,93,0,0,140,0,0,0,2310,0,0,0
0,100,0,0,100,0,0,0,891,0,0,0
0,278,0,0,0,0,0,0,958,0,0,0
0,404,0,0,0,0,0,0,667,0,0,0
0,488,0,0,0,0,0,0,0,0,0,0
0,541,0,0,0,0,0,0,2505,0,0,0
0,450,0,0,0,0,0,0,178,0,0,0
0,556,0,0,0,0,0,0,0,0,0,0
0,340,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,410,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,50,0,0,0,0,0,0
20,128,0,0,0,230,0,0,0,0,0,0
480,0,0,0,0,260,0,0,0,0,0,0
332,0,0,0,0,390,0,0,0,0,0,0
227,140,0,0,0,470,0,0,0,0,0,0
366,0,0,0,0,410,0,0,0,0,0,20
100,0,0,0,0,480,0,0,0,0,0,0
60,0,0,0,0,260,0,0,0,0,0,0
260,0,0,0,0,375,0,0,0,0,0,0
460,0,0,0,0,250,0,0,0,0,0,33
375,0,0,0,0,215,0,0,0,0,0,0
540,0,0,0,0,240,0,255,0,0,0,0
475,0,0,0,0,320,0,0,0,0,0,0
578,0,0,0,120,295,0,0,0,112,0,119
278,0,0,0,0,130,0,0,0,0,0,0
113,0,0,0,150,0,0,0,0,0,444,0
475,0,0,0,0,0,0,0,0,0,1486,0
255,0,0,0,115,0,33,0,0,0,170,0
230,0,0,0,80,0,0,0,0,0,410,0
0,0,0,0,0,0,0,0,0,0,0,0
0,50,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,205,0,0
0,0,0,1320,399,0,0,0,0,0,0,0
0,0,0,370,0,0,0,0,0,0,0,0
0,0,0,0,110,0,0,0,0,0,0,0
0,0,105,0,0,0,0,0,0,0,0,0
0,0,0,28700,61,0,238,0,158,0,0,0
0,0,0,19200,0,0,0,0,1855,0,0,0
0,0,0,18600,0,0,0,0,890,0,0,0
0,0,0,8640,414,0,0,0,1214,0,0,0
0,0,0,2360,2119,0,0,0,1406,0,0,0
360,0,0,3490,478,0,0,0,2277,0,0,0
0,0,0,480,2750,0,0,0,1944,0,0,0
0,0,0,164,4844,0,0,0,989,0,0,0
0,0,0,0,5707,0,0,0,1505,0,0,0
0,0,0,0,7064,0,0,0,0,0,0,40
0,100,0,0,4763,0,0,0,0,0,0,0
0,20,45,0,2959,0,0,0,3801,0,0,0
0,0,374,0,714,0,0,0,218,0,0,0
0,0,360,0,514,0,0,0,0,0,0,0
0,0,1064,0,59,0,0,0,0,0,0,0
0,0,1632,0,0,0,0,0,0,0,0,0
0,20,1535,0,238,0,0,0,0,0,0,0
0,35,3314,0,349,0,0,0,0,0,0,0
0,0,450,0,178,0,0,0,0,0,0,0
0,65,256,0,125,0,0,0,0,0,0,0
0,0,2505,0,0,0,0,0,0,0,0,0
0,50,2472,0,0,0,0,0,0,0,0,0
0,30,792,275,0,0,0,0,0,0,0,0
0,160,720,0,0,0,0,0,0,0,0,0
25,0,833,0,0,0,0,0,0,0,0,0
30,0,476,0,0,0,0,0,0,0,0,0
0,0,168,0,0,0,0,0,0,0,0,0
40,110,765,0,0,0,0,0,0,0,0,0
0,30,0,0,0,0,0,0,0,0,0,0
0,10,0,210,0,0,0,0,0,0,0,0
30,125,0,0,0,0,0,0,0,0,0,0
0,260,0,0,0,0,0,0,0,0,0,238
0,30,0,0,0,0,0,0,0,0,0,0
0,0,231,0,0,0,0,0,0,0,0,0
0,0,0,0,0,46,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,79
20,0,0,0,0,376,0,0,0,0,0,0
320,0,0,216,0,647,0,0,0,0,0,0
20,0,800,0,0,244,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,0,0,0,0
110,0,0,106,0,955,0,0,0,0,713,0
0,0,0,132,0,40,0,0,0,0,100,0
230,0,2000,103,0,594,0,0,0,205,0,0
20,0,970,416,120,1076,0,0,0,0,0,0
200,0,0,880,60,805,0,0,167,0,0,0
0,0,0,348,0,0,0,0,0,0,299,0
0,0,450,0,0,83,0,0,0,0,0,0
0,20,3300,312,0,0,0,132,0,0,1855,0
0,0,4500,176,0,264,168,0,0,0,623,0
0,0,1200,347,0,2389,0,0,0,0,0,0
140,0,800,396,0,2000,0,0,0,0,0,0
30,0,1020,475,0,2898,172,0,0,0,0,0
150,0,430,589,0,1287,0,0,0,0,0,0
110,0,0,106,0,3059,0,0,0,0,0,0
0,0,0,210,0,1551,0,0,0,0,0,0
0,0,0,35,0,6197,0,0,0,0,0,0
0,0,0,73,0,1584,0,0,0,0,0,0
0,0,0,158,0,2395,0,0,0,0,0,0
0,0,0,0,0,2099,0,0,0,0,0,0
0,0,0,77,0,2310,0,0,0,0,0,0
0,0,0,26,0,924,0,0,0,0,0,0
0,0,0,109,0,59,0,0,0,0,0,0
0,30,0,74,970,53,0,0,0,0,0,16
0,0,0,40,1400,0,0,0,0,0,0,3
0,20,0,150,770,0,0,0,0,0,0,3
0,40,0,0,125,0,0,0,0,0,0,23
0,0,0,0,390,0,0,0,0,0,0,14
0,90,0,0,210,0,0,0,0,0,0,23
0,10,0,0,0,0,0,0,0,0,0,6
0,130,0,0,0,0,0,0,0,0,0,64
0,80,0,0,0,0,0,0,0,0,0,432
0,20,0,0,0,0,0,0,0,0,0,752
0,6,0,0,0,0,0,0,0,0,0,558
20,0,0,0,0,0,0,0,0,0,0,410
0,0,0,0,640,0,0,0,0,0,0,264
40,0,0,0,170,0,0,0,0,0,0,366
20,0,0,0,310,0,0,0,0,0,0,538
0,85,0,0,260,0,0,0,0,0,0,492
20,60,1720,0,0,0,0,0,0,0,0,294
30,10,2170,0,0,0,0,0,0,0,0,528
20,0,220,0,0,0,0,0,0,0,0,302
66,0,0,0,70,0,0,0,0,0,0,109
0,0,560,0,315,0,0,0,0,0,0,179
0,0,1185,0,90,0,0,0,0,0,0,100
0,0,0,0,410,0,0,0,0,0,0,19
0,0,0,0,785,0,0,0,0,0,0,76
0,0,0,0,990,0,0,0,0,0,0,134
10,0,0,0,0,0,0,0,0,0,0,148
0,0,0,0,672,166,0,0,0,0,0,38
20,0,0,0,800,34,0,0,0,0,0,71
260,0,0,0,0,0,0,0,0,0,60,79
0,0,0,0,2072,238,0,0,0,0,0,120
0,0,0,0,6017,153,167,0,0,0,346,0
420,0,0,0,0,204,311,0,0,0,0,0
0,0,0,0,566,705,383,0,0,0,445,0
150,0,0,0,891,1343,222,0,0,0,417,0
77,0,0,0,3425,1997,290,0,191,0,300,0
0,0,0,0,1521,2227,155,0,0,334,5680,0
120,0,34,0,508,2167,54,0,0,0,80,0
0,0,16,0,447,3060,101,0,0,0,560,0
0,0,63,0,1410,7675,112,0,0,29,360,0
0,0,132,0,857,3170,132,0,0,148,1300,0
0,0,138,0,805,2584,43,0,0,0,0,0
0,0,237,0,678,943,29,0,0,200,160,0
0,0,130,0,142,475,0,0,0,410,0,0
0,0,87,0,245,433,0,0,0,0,0,0
0,0,141,0,370,824,0,0,263,0,0,0
10,0,245,0,132,484,0,0,0,0,0,0
